;Responsavel;Nome;CPF;Nascimento;Sexo;cep;celular;email;confirme ;Febre;Falta de Ar;Tosse;Mal Estar;Dor de Garganta;Coriza;dias;Câncer;Diabetes;Doença Cardíaca;Doença Respiratória;Doença Renal;Pressão Alta;Transplante;Desconheço;Login;Senha;
21011;1;Teste Automatizado Vinte E Um Mil E Onze;46723130774;28/04/1988;M;64057400;69985423695;teste21011@teste21011.com.br;teste21011@teste21011.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Sim;Nao;Sim;Sim;Nao;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21012;0;Teste Automatizado Vinte E Um Mil E Doze;46723130774;29/04/1988;F;64057400;69985423695;teste21012@teste21012.com.br;teste21012@teste21012.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Sim;Nao;Sim;Sim;Nao;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21013;1;Teste Automatizado Vinte E Um Mil E Treze;46723130774;30/04/1988;M;64057400;69985423695;teste21013@teste21013.com.br;teste21013@teste21013.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Sim;Nao;Sim;Nao;Sim;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21014;0;Teste Automatizado Vinte E Um Mil E Quatorze;46723130774;01/05/1988;F;64057400;69985423695;teste21014@teste21014.com.br;teste21014@teste21014.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Sim;Nao;Sim;Nao;Sim;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21015;1;Teste Automatizado Vinte E Um Mil E Quinze;46723130774;02/05/1988;M;64057400;69985423695;teste21015@teste21015.com.br;teste21015@teste21015.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Sim;Nao;Sim;Nao;Nao;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21016;0;Teste Automatizado Vinte E Um Mil E Dezesseis;46723130774;03/05/1988;F;64057400;69985423695;teste21016@teste21016.com.br;teste21016@teste21016.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Sim;Nao;Sim;Nao;Nao;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21017;1;Teste Automatizado Vinte E Um Mil E Dezesete;46723130774;04/05/1988;M;64057400;69985423695;teste21017@teste21017.com.br;teste21017@teste21017.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Sim;Nao;Nao;Sim;Sim;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21018;0;Teste Automatizado Vinte E Um Mil E Dezoito;46723130774;05/05/1988;F;64057400;69985423695;teste21018@teste21018.com.br;teste21018@teste21018.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Sim;Nao;Nao;Sim;Sim;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21019;1;Teste Automatizado Vinte E Um Mil E Dezenove;46723130774;06/05/1988;M;64057400;69985423695;teste21019@teste21019.com.br;teste21019@teste21019.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Sim;Nao;Nao;Sim;Nao;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21020;0;Teste Automatizado Vinte E Um Mil E Vinte;46723130774;07/05/1988;F;64057400;69985423695;teste21020@teste21020.com.br;teste21020@teste21020.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Sim;Nao;Nao;Sim;Nao;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21021;1;Teste Automatizado Vinte E Um Mil E Vinte E Um;46723130774;08/05/1988;M;64057400;69985423695;teste21021@teste21021.com.br;teste21021@teste21021.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Sim;Nao;Nao;Nao;Sim;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21022;0;Teste Automatizado Vinte E Um Mil E Vinte E Dois;46723130774;09/05/1988;F;64057400;69985423695;teste21022@teste21022.com.br;teste21022@teste21022.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Sim;Nao;Nao;Nao;Sim;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21023;1;Teste Automatizado Vinte E Um Mil E Vinte E Tres;46723130774;10/05/1988;M;64057400;69985423695;teste21023@teste21023.com.br;teste21023@teste21023.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Sim;Nao;Nao;Nao;Nao;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21024;0;Teste Automatizado Vinte E Um Mil E Vinte E Quatro;46723130774;11/05/1988;F;64057400;69985423695;teste21024@teste21024.com.br;teste21024@teste21024.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Sim;Nao;Nao;Nao;Nao;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21025;1;Teste Automatizado Vinte E Um Mil E Vinte E Cinco;46723130774;12/05/1988;M;64057400;69985423695;teste21025@teste21025.com.br;teste21025@teste21025.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Nao;Sim;Sim;Sim;Sim;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21026;0;Teste Automatizado Vinte E Um Mil E Vinte E Seis;46723130774;13/05/1988;F;64057400;69985423695;teste21026@teste21026.com.br;teste21026@teste21026.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Nao;Sim;Sim;Sim;Sim;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21027;1;Teste Automatizado Vinte E Um Mil E Vinte E Sete;46723130774;14/05/1988;M;64057400;69985423695;teste21027@teste21027.com.br;teste21027@teste21027.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Nao;Sim;Sim;Sim;Nao;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21028;0;Teste Automatizado Vinte E Um Mil E Vinte E Oito;46723130774;15/05/1988;F;64057400;69985423695;teste21028@teste21028.com.br;teste21028@teste21028.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Nao;Sim;Sim;Sim;Nao;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21029;1;Teste Automatizado Vinte E Um Mil E Vinte E Nove;46723130774;16/05/1988;M;64057400;69985423695;teste21029@teste21029.com.br;teste21029@teste21029.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Nao;Sim;Sim;Nao;Sim;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21030;0;Teste Automatizado Vinte E Um Mil E Trinta;46723130774;17/05/1988;F;64057400;69985423695;teste21030@teste21030.com.br;teste21030@teste21030.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Nao;Sim;Sim;Nao;Sim;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21031;1;Teste Automatizado Vinte E Um Mil E Trinta E Um;46723130774;18/05/1988;M;64057400;69985423695;teste21031@teste21031.com.br;teste21031@teste21031.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Nao;Sim;Sim;Nao;Nao;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21032;0;Teste Automatizado Vinte E Um Mil E Trinta E Dois;46723130774;19/05/1988;F;64057400;69985423695;teste21032@teste21032.com.br;teste21032@teste21032.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Nao;Sim;Sim;Nao;Nao;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21033;1;Teste Automatizado Vinte E Um Mil E Trinta E Tres;46723130774;20/05/1988;M;64057400;69985423695;teste21033@teste21033.com.br;teste21033@teste21033.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Nao;Sim;Nao;Sim;Sim;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21034;0;Teste Automatizado Vinte E Um Mil E Trinta E Quatro;46723130774;21/05/1988;F;64057400;69985423695;teste21034@teste21034.com.br;teste21034@teste21034.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Nao;Sim;Nao;Sim;Sim;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21035;1;Teste Automatizado Vinte E Um Mil E Trinta E Cinco;46723130774;22/05/1988;M;64057400;69985423695;teste21035@teste21035.com.br;teste21035@teste21035.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Nao;Sim;Nao;Sim;Nao;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21036;0;Teste Automatizado Vinte E Um Mil E Trinta E Seis;46723130774;23/05/1988;F;64057400;69985423695;teste21036@teste21036.com.br;teste21036@teste21036.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Nao;Sim;Nao;Sim;Nao;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21037;1;Teste Automatizado Vinte E Um Mil E Trinta E Sete;46723130774;24/05/1988;M;64057400;69985423695;teste21037@teste21037.com.br;teste21037@teste21037.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Nao;Sim;Nao;Nao;Sim;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21038;0;Teste Automatizado Vinte E Um Mil E Trinta E Oito;46723130774;25/05/1988;F;64057400;69985423695;teste21038@teste21038.com.br;teste21038@teste21038.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Nao;Sim;Nao;Nao;Sim;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21039;1;Teste Automatizado Vinte E Um Mil E Trinta E Nove;46723130774;26/05/1988;M;64057400;69985423695;teste21039@teste21039.com.br;teste21039@teste21039.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Nao;Sim;Nao;Nao;Nao;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21040;0;Teste Automatizado Vinte E Um Mil E Quarenta;46723130774;27/05/1988;F;64057400;69985423695;teste21040@teste21040.com.br;teste21040@teste21040.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Nao;Sim;Nao;Nao;Nao;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21041;1;Teste Automatizado Vinte E Um Mil E Quarenta E Um;46723130774;28/05/1988;M;64057400;69985423695;teste21041@teste21041.com.br;teste21041@teste21041.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Nao;Nao;Sim;Sim;Sim;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21042;0;Teste Automatizado Vinte E Um Mil E Quarenta E Dois;46723130774;29/05/1988;F;64057400;69985423695;teste21042@teste21042.com.br;teste21042@teste21042.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Nao;Nao;Sim;Sim;Sim;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21043;1;Teste Automatizado Vinte E Um Mil E Quarenta E Tres;46723130774;30/05/1988;M;64057400;69985423695;teste21043@teste21043.com.br;teste21043@teste21043.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Nao;Nao;Sim;Sim;Nao;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21044;0;Teste Automatizado Vinte E Um Mil E Quarenta E Quatro;46723130774;31/05/1988;F;64057400;69985423695;teste21044@teste21044.com.br;teste21044@teste21044.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Nao;Nao;Sim;Sim;Nao;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21045;1;Teste Automatizado Vinte E Um Mil E Quarenta E Cinco;46723130774;01/06/1988;M;64057400;69985423695;teste21045@teste21045.com.br;teste21045@teste21045.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Nao;Nao;Sim;Nao;Sim;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21046;0;Teste Automatizado Vinte E Um Mil E Quarenta E Seis;46723130774;02/06/1988;F;64057400;69985423695;teste21046@teste21046.com.br;teste21046@teste21046.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Nao;Nao;Sim;Nao;Sim;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21047;1;Teste Automatizado Vinte E Um Mil E Quarenta E Sete;46723130774;03/06/1988;M;64057400;69985423695;teste21047@teste21047.com.br;teste21047@teste21047.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Nao;Nao;Sim;Nao;Nao;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21048;0;Teste Automatizado Vinte E Um Mil E Quarenta E Oito;46723130774;04/06/1988;F;64057400;69985423695;teste21048@teste21048.com.br;teste21048@teste21048.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Nao;Nao;Sim;Nao;Nao;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21049;1;Teste Automatizado Vinte E Um Mil E Quarenta E Nove;46723130774;05/06/1988;M;64057400;69985423695;teste21049@teste21049.com.br;teste21049@teste21049.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Nao;Nao;Nao;Sim;Sim;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21050;0;Teste Automatizado Vinte E Um Mil E Cinquenta;46723130774;06/06/1988;F;64057400;69985423695;teste21050@teste21050.com.br;teste21050@teste21050.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Nao;Nao;Nao;Sim;Sim;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21051;1;Teste Automatizado Vinte E Um Mil E Cinquenta E Um;46723130774;07/06/1988;M;64057400;69985423695;teste21051@teste21051.com.br;teste21051@teste21051.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Nao;Nao;Nao;Sim;Nao;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21052;0;Teste Automatizado Vinte E Um Mil E Cinquenta E Dois;46723130774;08/06/1988;F;64057400;69985423695;teste21052@teste21052.com.br;teste21052@teste21052.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Nao;Nao;Nao;Sim;Nao;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21053;1;Teste Automatizado Vinte E Um Mil E Cinquenta E Tres;46723130774;09/06/1988;M;64057400;69985423695;teste21053@teste21053.com.br;teste21053@teste21053.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Nao;Nao;Nao;Nao;Sim;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21054;0;Teste Automatizado Vinte E Um Mil E Cinquenta E Quatro;46723130774;10/06/1988;F;64057400;69985423695;teste21054@teste21054.com.br;teste21054@teste21054.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Nao;Nao;Nao;Nao;Sim;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21055;1;Teste Automatizado Vinte E Um Mil E Cinquenta E Cinco;46723130774;11/06/1988;M;64057400;69985423695;teste21055@teste21055.com.br;teste21055@teste21055.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Nao;Nao;Nao;Nao;Nao;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21056;0;Teste Automatizado Vinte E Um Mil E Cinquenta E Seis;46723130774;12/06/1988;F;64057400;69985423695;teste21056@teste21056.com.br;teste21056@teste21056.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Nao;Nao;Nao;Nao;Nao;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21057;1;Teste Automatizado Vinte E Um Mil E Cinquenta E Sete;46723130774;13/06/1988;M;64057400;69985423695;teste21057@teste21057.com.br;teste21057@teste21057.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Nao;Sim;Sim;Sim;Sim;Sim;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21058;0;Teste Automatizado Vinte E Um Mil E Cinquenta E Oito;46723130774;14/06/1988;F;64057400;69985423695;teste21058@teste21058.com.br;teste21058@teste21058.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Nao;Sim;Sim;Sim;Sim;Sim;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21059;1;Teste Automatizado Vinte E Um Mil E Cinquenta E Nove;46723130774;15/06/1988;M;64057400;69985423695;teste21059@teste21059.com.br;teste21059@teste21059.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Nao;Sim;Sim;Sim;Sim;Nao;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21060;0;Teste Automatizado Vinte E Um Mil E Sessenta;46723130774;16/06/1988;F;64057400;69985423695;teste21060@teste21060.com.br;teste21060@teste21060.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Nao;Sim;Sim;Sim;Sim;Nao;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21061;1;Teste Automatizado Vinte E Um Mil E Sessenta E Um;46723130774;17/06/1988;M;64057400;69985423695;teste21061@teste21061.com.br;teste21061@teste21061.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Nao;Sim;Sim;Sim;Nao;Sim;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21062;0;Teste Automatizado Vinte E Um Mil E Sessenta E Dois;46723130774;18/06/1988;F;64057400;69985423695;teste21062@teste21062.com.br;teste21062@teste21062.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Nao;Sim;Sim;Sim;Nao;Sim;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21063;1;Teste Automatizado Vinte E Um Mil E Sessenta E Tres;46723130774;19/06/1988;M;64057400;69985423695;teste21063@teste21063.com.br;teste21063@teste21063.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Nao;Sim;Sim;Sim;Nao;Nao;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21064;0;Teste Automatizado Vinte E Um Mil E Sessenta E Quatro;46723130774;20/06/1988;F;64057400;69985423695;teste21064@teste21064.com.br;teste21064@teste21064.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Nao;Sim;Sim;Sim;Nao;Nao;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21065;1;Teste Automatizado Vinte E Um Mil E Sessenta E Cinco;46723130774;21/06/1988;M;64057400;69985423695;teste21065@teste21065.com.br;teste21065@teste21065.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Nao;Sim;Sim;Nao;Sim;Sim;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21066;0;Teste Automatizado Vinte E Um Mil E Sessenta E Seis;46723130774;22/06/1988;F;64057400;69985423695;teste21066@teste21066.com.br;teste21066@teste21066.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Nao;Sim;Sim;Nao;Sim;Sim;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21067;1;Teste Automatizado Vinte E Um Mil E Sessenta E Sete;46723130774;23/06/1988;M;64057400;69985423695;teste21067@teste21067.com.br;teste21067@teste21067.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Nao;Sim;Sim;Nao;Sim;Nao;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21068;0;Teste Automatizado Vinte E Um Mil E Sessenta E Oito;46723130774;24/06/1988;F;64057400;69985423695;teste21068@teste21068.com.br;teste21068@teste21068.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Nao;Sim;Sim;Nao;Sim;Nao;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21069;1;Teste Automatizado Vinte E Um Mil E Sessenta E Nove;46723130774;25/06/1988;M;64057400;69985423695;teste21069@teste21069.com.br;teste21069@teste21069.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Nao;Sim;Sim;Nao;Nao;Sim;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21070;0;Teste Automatizado Vinte E Um Mil E Setenta;46723130774;26/06/1988;F;64057400;69985423695;teste21070@teste21070.com.br;teste21070@teste21070.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Nao;Sim;Sim;Nao;Nao;Sim;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21071;1;Teste Automatizado Vinte E Um Mil E Setenta E Um;46723130774;27/06/1988;M;64057400;69985423695;teste21071@teste21071.com.br;teste21071@teste21071.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Nao;Sim;Sim;Nao;Nao;Nao;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21072;0;Teste Automatizado Vinte E Um Mil E Setenta E Dois;46723130774;28/06/1988;F;64057400;69985423695;teste21072@teste21072.com.br;teste21072@teste21072.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Nao;Sim;Sim;Nao;Nao;Nao;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21073;1;Teste Automatizado Vinte E Um Mil E Setenta E Tres;46723130774;29/06/1988;M;64057400;69985423695;teste21073@teste21073.com.br;teste21073@teste21073.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Nao;Sim;Nao;Sim;Sim;Sim;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21074;0;Teste Automatizado Vinte E Um Mil E Setenta E Quatro;46723130774;30/06/1988;F;64057400;69985423695;teste21074@teste21074.com.br;teste21074@teste21074.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Nao;Sim;Nao;Sim;Sim;Sim;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21075;1;Teste Automatizado Vinte E Um Mil E Setenta E Cinco;46723130774;01/07/1988;M;64057400;69985423695;teste21075@teste21075.com.br;teste21075@teste21075.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Nao;Sim;Nao;Sim;Sim;Nao;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21076;0;Teste Automatizado Vinte E Um Mil E Setenta E Seis;46723130774;02/07/1988;F;64057400;69985423695;teste21076@teste21076.com.br;teste21076@teste21076.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Nao;Sim;Nao;Sim;Sim;Nao;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21077;1;Teste Automatizado Vinte E Um Mil E Setenta E Sete;46723130774;03/07/1988;M;64057400;69985423695;teste21077@teste21077.com.br;teste21077@teste21077.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Nao;Sim;Nao;Sim;Nao;Sim;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21078;0;Teste Automatizado Vinte E Um Mil E Setenta E Oito;46723130774;04/07/1988;F;64057400;69985423695;teste21078@teste21078.com.br;teste21078@teste21078.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Nao;Sim;Nao;Sim;Nao;Sim;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21079;1;Teste Automatizado Vinte E Um Mil E Setenta E Nove;46723130774;05/07/1988;M;64057400;69985423695;teste21079@teste21079.com.br;teste21079@teste21079.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Nao;Sim;Nao;Sim;Nao;Nao;Sim;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
21080;0;Teste Automatizado Vinte E Um Mil E Oitenta;46723130774;06/07/1988;F;64057400;69985423695;teste21080@teste21080.com.br;teste21080@teste21080.com.br;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Nao;Sim;Nao;Sim;Nao;Nao;Nao;admin@admin.com.br;admin@admin.com.br;Covid-19 Grave
